Ex-Date,Dividend
11.06.2019,16
25.06.2018,12
13.06.2017,6
10.06.2016,1.97
11.06.2015,0.45
16.06.2014,3.2
12.04.2013,2.57
13.04.2012,2.08
18.04.2011,0.92
19.04.2010,0.08
12.05.2009,0.48
12.05.2008,0.51
14.05.2007,0.3855
02.05.2006,0.266
11.05.2005,0.1739
05.05.2004,0.1345
12.05.2003,0.109
