"Date","R","SD"
2004-01-12,-0.672700286715127,3.00449422132059
2004-01-13,-0.443201098692914,3.00227741311912
2004-01-14,0.698896263573628,2.99732167759622
2004-01-15,-3.30413537771356,2.98097208579844
2004-01-16,2.1952824638467,2.98075864196542
2004-01-19,0,2.96707883270712
2004-01-20,0.140745976787977,2.95790624437465
2004-01-21,0.21074823395648,2.94494915465547
2004-01-22,0.19863300332379,2.9411595963876
2004-01-23,0.151630051796401,2.93019487638709
2004-01-26,1.04348772925795,2.91540296830879
2004-01-27,-0.462428569711379,2.9148700141005
2004-01-28,-0.814431494168586,2.89676782219364
2004-01-29,-0.57407456588269,2.89430351010932
2004-01-30,-1.67055599934401,2.89054601648756
2004-02-02,-0.119545740477363,2.88563796451709
2004-02-03,1.02345294151416,2.86790819722205
2004-02-04,1.71385812547571,2.86256564699533
2004-02-05,-0.443252796179199,2.86275822737429
2004-02-06,0.070118034893385,2.86257701537007
2004-02-09,2.13819183169146,2.85745074778753
2004-02-10,-0.458453525041288,2.85745783591586
2004-02-11,1.85517185339126,2.85753069298901
2004-02-12,1.1324895381801,2.85348342775777
2004-02-13,-0.0446080078769841,2.85363582065562
2004-02-16,0.367422336188433,2.85355204359044
2004-02-17,0.741851378783378,2.85355063573175
2004-02-18,0.385356931598997,2.85325543010278
2004-02-19,1.25581775989822,2.85026329814666
2004-02-20,1.98770981541716,2.84642038934027
2004-02-24,2.14699890830485,2.84511007974403
2004-02-25,2.93444672756141,2.84563153123964
2004-02-26,-0.914175995809451,2.84654268654714
2004-02-27,0.407332538763565,2.8465932735665
2004-03-01,2.70693219682179,2.8461446900892
2004-03-02,-0.794443105853586,2.84633756967372
2004-03-03,-2.01416678147689,2.8423706171583
2004-03-04,0.719682798130237,2.83811772757947
2004-03-05,1.59314025312156,2.83570828975702
2004-03-09,1.86129751778328,2.8344493572765
2004-03-10,-1.16788215888338,2.83432066846934
2004-03-11,-1.42170709995945,2.83338355905161
2004-03-12,-0.270717566449068,2.83380587527492
2004-03-15,1.29677627690107,2.8305348523836
2004-03-16,0.888017675685917,2.82762920982463
2004-03-17,1.1524690501573,2.8230413289382
2004-03-18,6.821571970896,2.81631252719949
2004-03-19,5.4282020970382,2.82297900378962
2004-03-22,-2.05709636280704,2.8234391645844
2004-03-23,1.70424088245177,2.82116534443548
2004-03-24,-0.207128752744145,2.82141490442856
2004-03-25,1.60263960654665,2.82069808572698
2004-03-26,1.16644040797196,2.81812053546324
2004-03-29,6.34875488915961,2.81651123388145
2004-03-30,-0.0946820332686563,2.8230073428166
2004-03-31,-0.340015351496974,2.82294408505492
2004-04-01,0.379477093850361,2.80882362792407
2004-04-02,0.6057525504508,2.80727215461369
