"Date","R","SD"
2001-01-10,4.65200156348929,3.84521157150758
2001-01-11,2.00336694624026,3.85264421872281
2001-01-12,0.326189314111957,3.79348520698081
2001-01-15,2.75767677702344,3.77993524559722
2001-01-16,-0.160128136697388,3.77893326647961
2001-01-17,5.00104205746614,3.77821706994511
2001-01-18,-2.15724852541279,3.78955251946736
2001-01-19,-1.34861695854218,3.78510988140984
2001-01-22,-4.42221480352249,3.77363564702111
2001-01-23,2.12252866152817,3.77972619165841
2001-01-24,5.12642148048081,3.77323940420543
2001-01-25,-0.23971245997214,3.78512343317711
2001-01-26,-1.54729370242363,3.76735233463514
2001-01-29,-10.4003839894707,3.75981538089211
2001-01-30,-0.347343176586946,3.81549951210813
2001-01-31,-0.139275788530336,3.81507475718367
2001-02-01,-1.40353181163835,3.80848664556968
2001-02-02,1.0544913176615,3.79377243362218
2001-02-05,-3.66784927901016,3.79440297736496
2001-02-06,3.31758622388996,3.8009762286914
2001-02-07,-2.8471674081312,3.80313990620928
2001-02-08,2.80154296667787,3.80479422778345
2001-02-09,-1.36782665203714,3.8084678053433
2001-02-12,0.567780091668141,3.79051996867729
2001-02-13,3.95472970882545,3.79061421200212
2001-02-14,1.21705356202553,3.79901542526601
2001-02-15,4.66116536647393,3.79911156109183
2001-02-16,-5.87821892849945,3.81077509800525
2001-02-19,-2.20439126109021,3.81155364967467
2001-02-20,-0.894141684101187,3.81402879028777
2001-02-21,-5.45429178628089,3.81238339271705
2001-02-22,3.37335741249921,3.825361695744
2001-02-23,-3.33631351505762,3.83064649539467
2001-02-26,2.91991546922623,3.83524634322977
2001-02-27,-1.888218772133,3.83981952205427
2001-02-28,0.617590444419884,3.84046115707776
2001-03-01,-3.14185216318069,3.81887170312434
2001-03-02,0,3.81146897836611
2001-03-05,3.94375780111811,3.80785914183599
2001-03-06,6.40414695469395,3.7987720006011
2001-03-07,1.01181301655847,3.81803959157021
2001-03-11,-1.96549871888053,3.8131929724044
2001-03-12,-1.7956283556978,3.81220822800787
2001-03-13,-0.527521354669253,3.79996607309483
2001-03-14,-5.61925336349066,3.77587429530341
2001-03-15,3.45941866236542,3.77764819093992
2001-03-16,1.636558295953,3.76216422123683
2001-03-19,1.39862419747399,3.73221164813817
2001-03-20,-0.994512253339818,3.73309727261566
2001-03-21,-2.53942439119107,3.73308279665214
2001-03-22,0.695418080186278,3.73576973125052
2001-03-23,-0.282602273613047,3.73468623104889
2001-03-26,0.838317582337573,3.72603952752336
2001-03-27,1.41095815163198,3.70847074105496
2001-03-28,-1.23349581579513,3.69175110433438
2001-03-29,-3.02398851897181,3.66067505273351
2001-03-30,-1.13950874618593,3.64662397101641
2001-04-02,-1.30234398862867,3.6446184114541
2001-04-03,-3.31269582984546,3.62464399941635
2001-04-04,0.270636159774285,3.58841607319395
2001-04-05,4.89740045964595,3.58709515119536
2001-04-06,-0.183992692200718,3.59152899054102
2001-04-09,0.880093689504228,3.56291817538816
2001-04-10,3.26838213742051,3.54503104074185
2001-04-11,1.40353181163836,3.55147572340709
2001-04-12,-2.0949626311537,3.55062877942779
2001-04-13,0.159985813166106,3.5467534057352
2001-04-16,-0.355872261699411,3.54614358315347
2001-04-17,-0.572043032930777,3.54410562529303
2001-04-18,2.86289211261779,3.54386248665938
2001-04-19,2.74931405801987,3.51313593845092
2001-04-20,-3.09485810962648,3.51773170107876
2001-04-23,-3.01698066703122,3.522789697655
2001-04-24,2.66322116954076,3.52135707811284
2001-04-25,-0.210748233956481,3.52540832241011
2001-04-26,3.45576889256354,3.5238382156955
2001-04-27,1.88430878014799,3.53109374108058
2001-04-28,-0.668898815079665,3.52029538572934
2001-05-03,2.97542610817927,3.52040629938148
2001-05-04,1.19800688118046,3.51146502236798
2001-05-07,2.5422405024289,3.51134000400995
2001-05-08,2.86414283046863,3.51539829286823
2001-05-10,1.67512156277014,3.52045043568992
2001-05-11,-0.631676036321598,3.5210083963202
2001-05-14,0.975910455418859,3.51967642031267
2001-05-15,-0.506407895702175,3.51982726291533
2001-05-16,1.52371686413394,3.5196220904306
2001-05-17,5.88708035123825,3.51922646165856
2001-05-18,0.56980211146378,3.52522702552299
2001-05-21,4.77885805008451,3.51395840581257
2001-05-22,-1.95821928010259,3.52516366927188
2001-05-23,1.62453748710147,3.46984805842543
2001-05-24,-0.818558458643941,3.4713575791153
2001-05-25,-2.89069599423839,3.45729545160072
2001-05-28,-0.392761274031456,3.45574667150625
2001-05-29,1.709491321968,3.40300775786718
2001-05-30,2.12041539350973,3.40140058833751
2001-05-31,3.05899891231528,3.40359812952944
2001-06-01,4.19207564107919,3.40909808566428
2001-06-04,2.16841234168033,3.41716273104154
2001-06-05,-3.34099778816261,3.41647609402978
2001-06-06,-1.42029501779934,3.41695635393304
2001-06-07,-3.19752435427868,3.41723012609823
2001-06-08,-0.646553976464186,3.41235151829745
2001-06-09,-0.446943250944743,3.41257188662705
2001-06-13,0.851529102899126,3.41251770676908
2001-06-14,-1.76515105753223,3.41089332855772
2001-06-15,1.52259602687679,3.41053856297727
2001-06-18,2.6362863450481,3.41191865950965
2001-06-19,2.26071730101095,3.41410685477729
2001-06-20,-1.24096732157126,3.41461131619735
2001-06-21,1.75352610645248,3.40999075285173
2001-06-22,0.966682674045973,3.40851810337665
2001-06-25,-2.04610718713401,3.40561474937013
2001-06-26,0.258064659349171,3.40733478668154
2001-06-27,-0.776200533548919,3.40605742242352
2001-06-28,-5.3072045626193,3.39333164364057
2001-06-29,-4.22381341781318,3.40951152926632
2001-07-02,-2.02027073175195,3.40292735939743
